==================================================
=== 积分计算结果 ===
==================================================
计算时间: 1307.99分钟
积分结果: -0.00029252 ± 0.00052293
相对误差: 178.7681%
Q值: 0.9844

详细信息:
itn   integral        wgt average     chi2/dof        Q
309   0.020(10)       -0.00050(60)        0.89     0.91
310   0.002(11)       -0.00050(59)        0.89     0.92
311   -0.007(11)      -0.00052(59)        0.89     0.92
312   -0.021(11)      -0.00058(59)        0.90     0.90
313   -0.004(10)      -0.00059(59)        0.89     0.91
314   0.007(10)       -0.00056(59)        0.89     0.91
315   -0.009(10)      -0.00059(59)        0.89     0.91
316   0.004(10)       -0.00058(59)        0.89     0.92
317   -0.006(10)      -0.00060(59)        0.89     0.92
318   -0.009(10)      -0.00062(59)        0.89     0.92
319   -0.008(10)      -0.00065(59)        0.89     0.93
320   0.017(10)       -0.00059(59)        0.89     0.92
321   -0.006(10)      -0.00061(58)        0.89     0.92
322   -0.004(10)      -0.00062(58)        0.89     0.93
323   0.022(10)       -0.00055(58)        0.90     0.90
324   -0.012(10)      -0.00058(58)        0.90     0.90
325   0.007(10)       -0.00056(58)        0.90     0.90
326   0.013(10)       -0.00052(58)        0.90     0.90
327   0.012(10)       -0.00048(58)        0.90     0.89
328   0.001(10)       -0.00047(58)        0.90     0.90
329   0.001(10)       -0.00047(58)        0.90     0.91
330   -0.005(10)      -0.00048(58)        0.90     0.91
331   0.007(10)       -0.00046(58)        0.89     0.92
332   0.0006(104)     -0.00046(57)        0.89     0.92
333   0.019(10)       -0.00040(57)        0.90     0.91
334   -0.017(10)      -0.00045(57)        0.90     0.89
335   0.008(10)       -0.00043(57)        0.90     0.90
336   0.007(10)       -0.00040(57)        0.90     0.90
337   -0.009(10)      -0.00043(57)        0.90     0.90
338   -0.008(10)      -0.00045(57)        0.90     0.90
339   0.008(10)       -0.00043(57)        0.90     0.91
340   0.003(10)       -0.00042(57)        0.90     0.91
341   -0.004(10)      -0.00043(57)        0.90     0.92
342   0.003(10)       -0.00042(57)        0.89     0.92
343   -0.007(10)      -0.00044(57)        0.89     0.93
344   0.014(10)       -0.00040(56)        0.89     0.92
345   0.007(10)       -0.00038(56)        0.89     0.92
346   0.002(10)       -0.00037(56)        0.89     0.93
347   -0.010(10)      -0.00040(56)        0.89     0.93
348   0.008(10)       -0.00037(56)        0.89     0.93
349   -0.003(10)      -0.00038(56)        0.89     0.94
350   -0.0001(104)    -0.00038(56)        0.88     0.94
351   0.014(10)       -0.00033(56)        0.89     0.94
352   -0.006(10)      -0.00035(56)        0.89     0.94
353   -0.011(10)      -0.00038(56)        0.89     0.94
354   -0.001(10)      -0.00038(56)        0.88     0.94
355   -0.004(10)      -0.00039(56)        0.88     0.95
356   -0.004(10)      -0.00040(55)        0.88     0.95
357   0.003(10)       -0.00039(55)        0.88     0.95
358   0.0005(104)     -0.00039(55)        0.88     0.96
359   0.005(10)       -0.00038(55)        0.87     0.96
360   0.004(10)       -0.00036(55)        0.87     0.96
361   0.009(10)       -0.00034(55)        0.87     0.96
362   0.001(10)       -0.00033(55)        0.87     0.97
363   -0.018(10)      -0.00038(55)        0.87     0.96
364   0.017(10)       -0.00033(55)        0.88     0.95
365   0.006(10)       -0.00032(55)        0.88     0.95
366   -0.0008(104)    -0.00032(55)        0.88     0.96
367   0.010(10)       -0.00029(55)        0.88     0.96
368   0.010(10)       -0.00026(55)        0.88     0.96
369   0.011(10)       -0.00023(54)        0.88     0.96
370   0.001(10)       -0.00023(54)        0.88     0.96
371   -0.003(10)      -0.00024(54)        0.87     0.96
372   0.002(10)       -0.00023(54)        0.87     0.97
373   -0.012(10)      -0.00026(54)        0.87     0.96
374   -0.001(10)      -0.00026(54)        0.87     0.97
375   0.016(10)       -0.00022(54)        0.87     0.96
376   0.0008(104)     -0.00022(54)        0.87     0.97
377   0.002(10)       -0.00021(54)        0.87     0.97
378   0.003(10)       -0.00020(54)        0.87     0.97
379   -0.009(10)      -0.00023(54)        0.87     0.97
380   0.001(10)       -0.00022(54)        0.86     0.97
381   0.001(10)       -0.00022(54)        0.86     0.98
382   -0.007(10)      -0.00024(54)        0.86     0.98
383   -0.010(10)      -0.00026(53)        0.86     0.98
384   -0.002(10)      -0.00027(53)        0.86     0.98
385   -0.001(10)      -0.00027(53)        0.86     0.98
386   0.007(10)       -0.00025(53)        0.86     0.98
387   0.014(10)       -0.00021(53)        0.86     0.98
388   -0.006(10)      -0.00023(53)        0.86     0.98
389   -0.003(10)      -0.00024(53)        0.86     0.98
390   -0.002(10)      -0.00024(53)        0.85     0.98
391   0.012(10)       -0.00021(53)        0.85     0.98
392   -0.0009(104)    -0.00021(53)        0.85     0.98
393   -0.016(10)      -0.00025(53)        0.86     0.98
394   -0.002(10)      -0.00025(53)        0.85     0.98
395   0.004(10)       -0.00024(53)        0.85     0.98
396   -0.003(10)      -0.00025(53)        0.85     0.99
397   0.003(10)       -0.00024(52)        0.85     0.99
398   -0.019(10)      -0.00029(52)        0.85     0.98
399   0.009(10)       -0.00027(52)        0.85     0.98
400   -0.009(10)      -0.00029(52)        0.85     0.98

==================================================
